,crdc_id,year,ncessch,leaid,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
261,060003606335,2011,060003606335,0600036,308961.0,469524.0,308961.0,,,,14420.0,,,
262,060003607250,2011,060003607250,0600036,3046184.0,3799845.0,3062592.0,,,,213352.0,,,
263,060003608582,2011,060003608582,0600036,1984916.0,2456856.0,1984936.0,,,,115667.0,,,
264,060003608583,2011,060003608583,0600036,2114243.0,2325946.0,2137785.0,,,,50374.0,,,
265,060003610359,2011,060003610359,0600036,1402384.0,1593524.0,1417890.0,,,,134752.0,,,
266,060003611084,2011,060003611084,0600036,3087357.0,3898176.0,3126092.0,,,,175019.0,,,
267,060003611085,2011,060003611085,0600036,2220452.0,2415429.0,2236087.0,,,,184224.0,,,
268,060003611087,2011,060003611087,0600036,1189169.0,1699824.0,1424376.0,,,,302127.0,,,
269,060003611734,2011,060003611734,0600036,2072007.0,2279141.0,2089349.0,,,,151872.0,,,
270,060003611735,2011,060003611735,0600036,972598.0,1299227.0,972598.0,,,,172508.0,,,
271,060003612351,2011,060003612351,0600036,1733896.0,1929656.0,1750607.0,,,,131559.0,,,
272,060003612523,2011,060003612523,0600036,1156569.0,1339579.0,1164792.0,,,,160295.0,,,
273,060003699999,2011,,,106247.0,164444.0,114052.0,,,,37680.0,,,
274,060003701550,2011,060003701550,0600037,1253814.0,1511277.0,1511277.0,,,,8015.0,,,
275,060003701551,2011,060003701551,0600037,742709.0,857143.0,802734.0,,,,39365.0,,,
276,060003801994,2011,060003801994,0600038,133759.0,255942.0,154184.0,,,,233832.0,,,
277,060003803640,2011,060003803640,0600038,64512.0,207203.0,135721.0,,,,65553.0,,,
278,060003807500,2011,060003807500,0600038,1322327.0,2612838.0,1988610.0,,,,741691.0,,,
279,060003809400,2011,060003809400,0600038,39951.0,60973.0,49546.0,,,,45966.0,,,
280,060003901212,2011,060003901212,0600039,374531.0,1932982.0,1558451.0,,,,868920.0,,,
281,060003901213,2011,060003901213,0600039,560129.0,2875213.0,2257259.0,,,,1262745.0,,,
282,060003907540,2011,060003907540,0600039,954776.0,3003151.0,2048375.0,,,,2041448.0,,,
