,ncessch,year,leaid_x,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,crdc_id_x,teachers_fte_crdc,teachers_current_sy,security_guard_fte,salaries_teachers
103,60282000205.0,2011,602820.0,99,99,229.0,223.0,34.574151,-118.08996,3072.0,PALMDALE HIGH,7.259114583333333,060282000205,121.0,0.04385618332674832,0.0039510075069142635,55559.694214876035
104,60282000206.0,2011,602820.0,99,99,159.0,287.0,34.658723,-118.238128,3146.0,QUARTZ HILL HIGH,9.12269548633185,060282000206,112.0,0.038384512683578106,0.0033377837116154874,75866.44642857143
105,60282004582.0,2011,602820.0,99,99,209.0,237.0,34.694666,-118.18952,2446.0,LANCASTER HIGH,9.689288634505315,060282004582,95.0,0.04372701266857376,0.004086636697997548,59985.063157894736
106,60282009515.0,2011,602820.0,99,99,239.0,269.0,34.591755,-118.175561,3237.0,HIGHLAND HIGH,8.310163731850478,060282009515,125.0,0.044989027066569126,0.004023408924652524,61724.168
107,60282009516.0,2011,602820.0,99,99,106.0,190.0,34.573643,-117.93711,1673.0,LITTLEROCK HIGH,11.356843992827256,060282009516,68.0,0.04287598944591029,0.005936675461741424,62033.470588235294
108,60282010823.0,2011,602820.0,99,99,169.0,274.0,34.680211,-118.07016,2431.0,EASTSIDE HIGH,11.271081859317153,060282010823,93.0,0.04312553373185312,0.004269854824935952,56303.645161290326
109,60282011346.0,2011,602820.0,99,99,150.0,470.0,34.564153,-118.008377,3416.0,WILLIAM J. (PETE) KNIGHT HIGH,13.75878220140515,060282011346,129.0,0.04228769497400347,0.0034662045060658577,55706.992248062015
110,60285000207.0,2011,602850.0,99,99,116.0,120.0,38.006282,-121.816298,1970.0,ANTIOCH HIGH,6.091370558375635,060285000207,86.0,0.041855774079677256,0.0025214321734745334,69426.20930232559
111,60285005724.0,2011,602850.0,99,99,170.0,281.0,37.963604,-121.775155,2734.0,DEER VALLEY HIGH,10.27798098024872,060285005724,107.0,0.04262295081967213,0.002810304449648712,67912.19626168224
112,60285012278.0,2011,602850.0,99,99,54.0,186.0,37.94807,-121.76817,628.0,DOZIER-LIBBEY MEDICAL HIGH,29.617834394904456,060285012278,26.0,0.04107648725212465,0.00141643059490085,58952.692307692305
113,60297000223.0,2011,602970.0,99,99,96.0,567.0,34.129924,-118.038929,3665.0,ARCADIA HIGH,15.470668485675306,060297000223,149.0,0.04658197217180883,0.0008166969147005445,73937.0
114,60303000238.0,2011,603030.0,99,99,51.0,227.0,40.877586,-124.089736,818.0,ARCATA HIGH,27.750611246943762,060303000238,38.0,0.05736782902137233,0.0,63840.57894736842
115,60303000239.0,2011,603030.0,99,99,19.0,39.0,40.955089,-124.108992,618.0,MCKINLEYVILLE HIGH,6.310679611650485,060303000239,27.0,0.07207207207207207,0.0,61878.07407407407
116,60303010800.0,2011,603030.0,99,99,0.0,17.0,40.876777,-124.089039,95.0,SIX RIVERS CHARTER HIGH,17.894736842105264,060303010800,5.0,0.17346938775510204,0.0,55698.8
117,60309008155.0,2011,603090.0,99,99,2.0,12.0,38.913253,-123.692681,91.0,PACIFIC COMMUNITY CHARTER,13.186813186813188,060309008155,7.0,0.08974358974358974,0.0,38933.57142857143
118,60330000247.0,2011,603300.0,99,99,147.0,242.0,35.483126,-120.672586,1485.0,ATASCADERO HIGH,16.296296296296298,060330000247,66.0,0.05120481927710843,0.0015060240963855422,57352.78787878788
119,60360000268.0,2011,603600.0,99,99,10.0,194.0,34.124535,-117.897547,1363.0,AZUSA HIGH,14.233308877476155,060360000268,59.0,0.05060240963855422,0.0,55242.91525423729
120,60360000273.0,2011,603600.0,99,99,0.0,269.0,34.104421,-117.913186,1427.0,GLADSTONE HIGH,18.85073580939033,060360000273,57.0,0.04477611940298507,0.0,50267.82456140351
121,60369000324.0,2011,603690.0,99,99,23.0,263.0,34.083944,-117.948555,2298.0,BALDWIN PARK HIGH,11.44473455178416,060369000324,84.0,0.047109207708779445,0.0021413276231263384,72134.27380952382
122,60369000338.0,2011,603690.0,99,99,18.0,310.0,34.076199,-117.98011,2018.0,SIERRA VISTA HIGH,15.361744301288404,060369000338,82.0,0.04173106646058733,0.0015455950540958269,71421.93902439025
123,60384000347.0,2011,603840.0,99,99,54.0,150.0,33.917217,-116.878211,1129.0,BANNING HIGH,13.28609388839681,060384000347,41.0,0.04317958783120707,0.005583905789990187,68363.0731707317
124,60402000355.0,2011,604020.0,99,99,0.0,0.0,34.89374,-117.0279,1441.0,BARSTOW HIGH,0.0,060402000355,63.0,0.04644412191582003,0.0,50497.28571428572
125,60411000371.0,2011,604110.0,99,99,4.0,179.0,34.05179,-117.977142,1165.0,BASSETT SENIOR HIGH,15.36480686695279,060411000371,53.0,0.040513833992094864,0.0029644268774703555,56616.377358490565
126,60423000381.0,2011,604230.0,99,99,0.0,105.0,34.255976,-116.825662,823.0,BIG BEAR HIGH,12.75820170109356,060423000381,31.0,0.04911323328785812,0.0,67194.6129032258
